,titres,liens,composes
15,"<a class=""omnitureproductlink product-image-link"" href=""/legging-basics-fille-ceinture-irisee-marine-grise.htm?ProductId=700050085&amp;FiltreCouleur=6400&amp;t=1"">Legging Basics fille ceinture irisée - marine grisé</a>",/legging-basics-fille-ceinture-irisee-marine-grise.htm?ProductId=700050085&FiltreCouleur=6400&t=1,"['95% coton', '5% élasthanne']"
16,"<a class=""omnitureproductlink product-image-link"" href=""/ensemble-robe-cardigan-fille-peche.htm?ProductId=702030296&amp;FiltreCouleur=1014&amp;t=1"">Ensemble robe + cardigan fille - pêche</a>",/ensemble-robe-cardigan-fille-peche.htm?ProductId=702030296&FiltreCouleur=1014&t=1,[]
17,"<a class=""omnitureproductlink product-image-link"" href=""/robe-fille-details-en-broderie-anglaise-vert-d-eau.htm?ProductId=702130746&amp;FiltreCouleur=1328&amp;t=1"">Robe fille détails en broderie anglaise - vert d'eau</a>",/robe-fille-details-en-broderie-anglaise-vert-d-eau.htm?ProductId=702130746&FiltreCouleur=1328&t=1,[]
18,"<a class=""omnitureproductlink product-image-link"" href=""/robe-a-volants-motifs-exotiques-fille-moutarde.htm?ProductId=341005374&amp;FiltreCouleur=0701&amp;t=1"">Robe à volants motifs exotiques fille - moutarde</a>",/robe-a-volants-motifs-exotiques-fille-moutarde.htm?ProductId=341005374&FiltreCouleur=0701&t=1,['100% coton']
19,"<a class=""omnitureproductlink product-image-link"" href=""/ensemble-t-shirt-noue-et-pantalon-fluide-imprime-fille-vert-emeraude.htm?ProductId=702030372&amp;FiltreCouleur=1309&amp;t=1"">Ensemble T-shirt noué et pantalon fluide imprimé fille -...</a>",/ensemble-t-shirt-noue-et-pantalon-fluide-imprime-fille-vert-emeraude.htm?ProductId=702030372&FiltreCouleur=1309&t=1,['100% viscose']
20,"<a class=""omnitureproductlink product-image-link"" href=""/lot-de-2-robes-basics-a-bretelles-fille-1-imprimee-1-unie-corail.htm?ProductId=702130841&amp;FiltreCouleur=1006&amp;t=1"">Lot de 2 robes Basics à bretelles fille 1 imprimée + 1 unie...</a>",/lot-de-2-robes-basics-a-bretelles-fille-1-imprimee-1-unie-corail.htm?ProductId=702130841&FiltreCouleur=1006&t=1,[]
21,"<a class=""omnitureproductlink product-image-link"" href=""/robe-boutonnee-a-fleurs-fille-ecru.htm?ProductId=702130905&amp;FiltreCouleur=0401&amp;t=1"">Robe boutonnée à fleurs fille - écru</a>",/robe-boutonnee-a-fleurs-fille-ecru.htm?ProductId=702130905&FiltreCouleur=0401&t=1,['100% viscose']
22,"<a class=""omnitureproductlink product-image-link"" href=""/robe-de-ceremonie-fille-en-satin-et-tulle-blanc.htm?ProductId=702130284&amp;FiltreCouleur=6349&amp;t=1"">Robe de cérémonie fille en satin et tulle - blanc</a>",/robe-de-ceremonie-fille-en-satin-et-tulle-blanc.htm?ProductId=702130284&FiltreCouleur=6349&t=1,['100% polyester']
23,"<a class=""omnitureproductlink product-image-link"" href=""/ensemble-t-shirt-noue-et-pantalon-fluide-imprime-fille-corail.htm?ProductId=702030372&amp;FiltreCouleur=1006&amp;t=1"">Ensemble T-shirt noué et pantalon fluide imprimé fille -...</a>",/ensemble-t-shirt-noue-et-pantalon-fluide-imprime-fille-corail.htm?ProductId=702030372&FiltreCouleur=1006&t=1,['100% viscose']
24,"<a class=""omnitureproductlink product-image-link"" href=""/legging-fille-imprime-rose-nude.htm?ProductId=700050127&amp;FiltreCouleur=1114&amp;t=1"">Legging fille imprimé - rose nude</a>",/legging-fille-imprime-rose-nude.htm?ProductId=700050127&FiltreCouleur=1114&t=1,"['95% coton', '5% élasthanne']"
